,Mixed Material,,,,,,,Process Data,,,,,,Seed Experiment,,,,Prediction
Reference,Mixture_main,Mixture_secondary,pH_m,"EC_m
(ms/cm)","MC_m
(%)",C/N_m,Additive,"Duration_time
(day)","T_ambient
(℃)","T_p
(℃)",pH_p,"EC_p
(ms/cm)","Aeration
( L/kg(dry mass)·min)",Seed,weight/volume,"Grow_time
(day)","Grow_T
(℃）","GI_p
(%)"
S6,Food Waste,sawdust,5.74,3.518,60,26.27,1,49.0138,8.08511,11.3475,8.48763,1.60714,0.02,Cabbage,0.1,3,25,87.4194
S6,Food Waste,sawdust,5.84,3.5,60,26.31,1,0.197239,18.0142,20.5674,5.84331,3.5,0.02,Cabbage,0.1,3,25,0
S6,Food Waste,sawdust,5.84,3.5,60,26.31,1,1.97239,19.8582,47.234,4.04753,2.75893,0.02,Cabbage,0.1,3,25,4.83871
S6,Food Waste,sawdust,5.84,3.5,60,26.31,1,7.00197,19.0071,56.4539,5.27303,2.09821,0.02,Cabbage,0.1,3,25,14.1935
S6,Food Waste,sawdust,5.84,3.5,60,26.31,1,14.1026,19.0071,50.922,7.39808,1.95536,0.02,Cabbage,0.1,3,25,27.4194
S6,Food Waste,sawdust,5.84,3.5,60,26.31,1,21.0059,18.8652,31.2057,7.92159,1.78571,0.02,Cabbage,0.1,3,25,35.1613
S6,Food Waste,sawdust,5.84,3.5,60,26.31,1,28.1065,19.0071,27.234,8.20486,1.61607,0.02,Cabbage,0.1,3,25,58.7097
S6,Food Waste,sawdust,5.84,3.5,60,26.31,1,38.9546,7.94326,12.4823,8.14919,1.75893,0.02,Cabbage,0.1,3,25,69.0323
S6,Food Waste,sawdust,5.84,3.5,60,26.31,1,48.8166,8.08511,11.0638,7.99929,1.70536,0.02,Cabbage,0.1,3,25,94.1935
S6,Food Waste,sawdust,5.86,3.518,60,26.31,1,0.0986193,18.0142,21.4184,5.86897,3.51786,0.02,Cabbage,0.1,3,25,0
S6,Food Waste,sawdust,5.86,3.518,60,26.31,1,1.97239,19.8582,45.3901,4.74741,2.84821,0.02,Cabbage,0.1,3,25,3.87097
S6,Food Waste,sawdust,5.86,3.518,60,26.31,1,7.00197,19.0071,53.617,5.07123,2.16071,0.02,Cabbage,0.1,3,25,12.5806
S6,Food Waste,sawdust,5.86,3.518,60,26.31,1,13.9053,19.0071,41.5603,7.26996,2.09821,0.02,Cabbage,0.1,3,25,21.6129
